,Table Number,vendor,confirmed_neighbors,neighbor_success_rate,distance_penalty,best_fitness,VEND_NUMB,N_ONE,ONE_IS_CARER,ONE_SHARE_CARD_READER,N_TWO,TWO_IS_CARER,TWO_SHARE_CARD_READER,N_THREE,THREE_IS_CARER,THREE_SHARE_CARD_READER,DISTANCE_ONE,DISTANCE_TWO,DISTANCE_THREE,neighbour_one_confirmed,neighbour_two_confirmed,neighbour_three_confirmed,DISTANCE_ONE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_ONE,DISTANCE_TWO_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_TWO,DISTANCE_THREE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_THREE
51,52,Vendor196,"[0, 0, 0]",,,80.08618851834932,Vendor196,,,,,,,,,,,,,0,0,0,,0,,0,,0
52,53,Vendor106,"[0, 0, 0]",0.0,0.0,80.08618851834932,Vendor106,Vendor21,Y,N,,,,,,,,,,0,0,0,,0,,0,,0
53,54,Vendor189,"[0, 0, 0]",,,80.08618851834932,Vendor189,,,,,,,,,,,,,0,0,0,,0,,0,,0
54,55,Vendor57,"[0, 0, 0]",,,80.08618851834932,Vendor57,,,,,,,,,,,,,0,0,0,,0,,0,,0
55,56,Vendor113,"[0, 0, 0]",,,80.08618851834932,Vendor113,,,,,,,,,,,,,0,0,0,,0,,0,,0
56,57,Vendor146,"[0, 0, 0]",,,80.08618851834932,Vendor146,,,,,,,,,,,,,0,0,0,,0,,0,,0
57,58,Vendor156,"[0, 0, 0]",,,80.08618851834932,Vendor156,,,,,,,,,,,,,0,0,0,,0,,0,,0
58,59,Vendor162,"[0, 0, 0]",,,80.08618851834932,Vendor162,,,,,,,,,,,,,0,0,0,,0,,0,,0
59,60,Vendor194,"[0, 0, 0]",,,80.08618851834932,Vendor194,,,,,,,,,,,,,0,0,0,,0,,0,,0
60,61,Vendor39,"[0, 0, 0]",,,80.08618851834932,Vendor39,,,,,,,,,,,,,0,0,0,,0,,0,,0
61,62,Vendor191,"[0, 0, 0]",,,80.08618851834932,Vendor191,,,,,,,,,,,,,0,0,0,,0,,0,,0
62,63,Vendor134,"[0, 0, 0]",,,80.08618851834932,Vendor134,,,,,,,,,,,,,0,0,0,,0,,0,,0
63,64,Vendor53,"[0, 0, 0]",,,80.08618851834932,Vendor53,,,,,,,,,,,,,0,0,0,,0,,0,,0
64,65,Vendor93,"[0, 0, 0]",,,80.08618851834932,Vendor93,,,,,,,,,,,,,0,0,0,,0,,0,,0
65,66,Vendor126,"[0, 0, 0]",,,80.08618851834932,Vendor126,,,,,,,,,,,,,0,0,0,,0,,0,,0
66,67,Vendor165,"[0, 0, 0]",,,80.08618851834932,Vendor165,,,,,,,,,,,,,0,0,0,,0,,0,,0
67,68,Vendor70,"[0, 0, 0]",,,80.08618851834932,Vendor70,,,,,,,,,,,,,0,0,0,,0,,0,,0
68,69,Vendor98,"[0, 0, 0]",,,80.08618851834932,Vendor98,,,,,,,,,,,,,0,0,0,,0,,0,,0
69,70,Vendor1,"[0, 0, 0]",0.0,0.0,80.08618851834932,Vendor1,Vendor2,Y,N,Vendor3,N,N,Vendor4,N,N,,,,0,0,0,,0,,0,,0
70,71,Vendor175,"[0, 0, 0]",,,80.08618851834932,Vendor175,,,,,,,,,,,,,0,0,0,,0,,0,,0
71,72,Vendor38,"[0, 0, 0]",,,80.08618851834932,Vendor38,,,,,,,,,,,,,0,0,0,,0,,0,,0
72,73,Vendor75,"[0, 0, 0]",,,80.08618851834932,Vendor75,,,,,,,,,,,,,0,0,0,,0,,0,,0
